time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-02-09T07:18:16.806Z,36.924,36.6528,5.145,4.8,mb,71,39,0.51,0.58,us,us6000jmnp,2023-02-15T02:17:13.040Z,"Turkey-Syria border region",earthquake,4.91,4.653,0.074,56,reviewed,us,us
2023-02-09T05:37:35.117Z,38.2127,38.1982,17.431,4.1,mb,27,104,1.302,0.61,us,us6000jmnc,2023-02-09T06:30:37.040Z,"10 km SSW of Ye?ilyurt, Turkey",earthquake,5.19,5.117,0.262,5,reviewed,us,us
2023-02-09T04:34:45.360Z,38.0922,38.4552,15.995,4.3,mb,28,115,1.35,0.62,us,us6000jmn4,2023-02-10T03:15:15.040Z,"15 km WNW of Sincik, Turkey",earthquake,4.56,6.082,0.266,4,reviewed,us,us
2023-02-09T03:52:19.732Z,38.0056,38.5425,14.891,4.5,mb,23,121,1.347,0.69,us,us6000jmmz,2023-02-10T02:57:19.040Z,"7 km WSW of Sincik, Turkey",earthquake,2.87,6.119,0.314,3,reviewed,us,us
2023-02-09T03:24:55.884Z,36.8136,36.4252,10,4.3,mb,23,154,0.723,1.05,us,us6000jmmw,2023-02-10T02:37:05.040Z,"8 km W of Hassa, Turkey",earthquake,4.53,1.812,0.266,4,reviewed,us,us
2023-02-09T01:44:20.184Z,37.8647,37.6676,13.664,4.4,mb,38,106,0.781,0.76,us,us6000jmma,2023-02-10T02:13:05.040Z,"9 km NNE of Gölba??, Turkey",earthquake,1.96,5.407,0.149,13,reviewed,us,us
2023-02-09T01:38:13.965Z,38.4404,40.4232,7.791,4.4,mb,37,78,1.16,0.68,us,us6000jmm7,2023-02-10T02:08:02.040Z,"4 km NE of Hani, Turkey",earthquake,3.71,4.089,0.13,17,reviewed,us,us
2023-02-09T00:32:17.238Z,38.4058,39.292,16.333,4.2,mb,20,101,1.604,0.92,us,us6000jmlx,2023-02-09T00:46:31.040Z,"eastern Turkey",earthquake,5.75,2.313,0.236,5,reviewed,us,us
2023-02-08T22:36:50.425Z,38.2174,38.2049,16.084,4,mb,29,91,1.309,0.6,us,us6000jmll,2023-02-08T22:47:15.040Z,"9 km SSW of Ye?ilyurt, Turkey",earthquake,4.93,5.752,0.183,8,reviewed,us,us
2023-02-08T20:12:06.139Z,38.2003,38.124,10,4.5,mb,34,71,0.938,0.88,us,us6000jmkh,2023-02-22T18:30:29.519Z,"15 km SW of Ye?ilyurt, Turkey",earthquake,4.41,1.93,0.27,4,reviewed,us,us
2023-02-08T18:58:55.174Z,34.301,36.2104,10,4.1,mb,59,75,1.448,0.78,us,us6000jmjy,2023-02-22T18:00:46.745Z,"",earthquake,5.82,1.894,0.117,20,reviewed,us,us
2023-02-08T18:35:12.152Z,37.504,37.1087,10,4.4,mb,30,66,0.166,0.95,us,us6000jpcx,2023-02-22T17:41:08.040Z,"16 km W of Pazarc?k, Turkey",earthquake,3.27,1.847,0.203,7,reviewed,us,us
2023-02-08T17:57:22.835Z,39.7533,40.763,10,4.4,mb,51,33,1.554,0.89,us,us6000jmjj,2023-02-22T17:17:59.222Z,"19 km SSE of A?kale, Turkey",earthquake,4.67,1.863,0.131,17,reviewed,us,us
2023-02-08T14:55:51.976Z,38.0117,38.5221,14.769,4.3,mb,59,67,1.338,0.45,us,us6000jmhi,2023-02-15T14:49:34.040Z,"8 km WSW of Sincik, Turkey",earthquake,5.52,4.669,0.114,22,reviewed,us,us
2023-02-08T14:42:22.459Z,38.1117,36.6183,10,4.4,mb,58,67,0.955,0.81,us,us6000jmhg,2023-02-15T14:39:08.040Z,"14 km NE of Göksun, Turkey",earthquake,3.45,1.906,0.115,22,reviewed,us,us
2023-02-08T14:20:25.727Z,37.9629,37.458,5.867,5.1,mww,143,55,0.814,0.88,us,us6000jmh3,2023-02-09T22:18:31.040Z,"1 km E of Nurhak, Turkey",earthquake,4.44,3.81,0.083,14,reviewed,us,us
2023-02-08T12:11:56.031Z,38.8457,37.2766,10,4.1,mb,37,46,0.802,0.54,us,us6000jmgm,2023-02-22T13:20:33.040Z,"13 km N of Gürün, Turkey",earthquake,3.51,1.936,0.185,8,reviewed,us,us
